model,prompt_type,processor,success_rate_(%),latency_min,latency_q1,latency_median,latency_q3,latency_max,latency_mean,total_tokens_min,total_tokens_q1,total_tokens_median,total_tokens_q3,total_tokens_max,total_tokens_mean
gpt-5,abla-l1,psg,100.0,52.85,71.67,83.39,89.42,123.49,83.02,4067.0,4447.25,5044.5,5514.25,6205.0,4990.13
gpt-5,abla-l1,sg,10.0,228.95,254.0,279.06,330.02,380.98,296.33,14036.0,15310.0,16584.0,20333.0,24082.0,18234.0
gpt-5,abla-l1,tpusg,100.0,70.79,108.74,124.06,142.93,336.96,136.46,5819.0,6945.25,7688.5,8316.25,20886.0,8593.23
gpt-5,abla-l2,psg,100.0,61.94,86.22,114.12,149.29,177.16,117.48,5571.0,6888.75,8347.0,9290.75,14587.0,8457.67
gpt-5,abla-l2,sg,70.0,158.93,188.84,235.16,294.17,478.1,263.86,16140.0,18727.0,20704.0,32232.0,44921.0,25408.9
gpt-5,abla-l2,tpusg,100.0,48.82,75.61,89.44,111.26,336.28,108.15,5122.0,6656.0,7890.0,9392.0,20929.0,8829.07
gpt-5,original,psg,96.67,79.92,107.01,130.61,173.86,195.76,138.42,7429.0,8900.0,10022.0,11106.0,21150.0,10262.62
gpt-5,original,sg,100.0,154.13,204.39,230.36,295.36,370.24,244.7,11487.0,19238.75,20309.5,24064.0,33629.0,21389.6
gpt-5,original,tpusg,90.0,71.66,107.71,147.25,172.68,332.47,149.45,8212.0,8810.0,9417.0,10402.5,40813.0,11095.56
phi4,abla-1p,psg,0.0,,,,,,,,,,,,
phi4,abla-1p,sg,0.0,,,,,,,,,,,,
phi4,abla-1p,tpusg,0.0,,,,,,,,,,,,
phi4,abla-2p,psg,36.67,32.33,45.22,52.25,56.04,90.94,55.99,3984.0,4088.5,5599.0,7038.5,7152.0,5571.73
phi4,abla-2p,sg,0.0,,,,,,,,,,,,
phi4,abla-2p,tpusg,80.0,21.41,34.66,55.66,56.48,58.12,48.03,2630.0,4255.0,7052.5,7111.75,7262.0,6019.83
phi4,abla-l1,psg,50.0,13.95,40.38,47.62,55.2,76.65,48.38,829.0,2367.0,2784.0,3319.0,4519.0,2860.13
phi4,abla-l1,sg,0.0,,,,,,,,,,,,
phi4,abla-l1,tpusg,40.0,16.85,31.73,49.28,57.46,114.42,50.46,976.0,1877.75,2865.5,3499.75,5125.0,2897.0
phi4,abla-l2,psg,93.33,10.01,21.96,24.33,38.76,61.88,28.85,1160.0,2529.5,2818.5,4256.0,6118.0,3209.61
phi4,abla-l2,sg,0.0,,,,,,,,,,,,
phi4,abla-l2,tpusg,90.0,12.52,24.7,36.81,50.12,70.49,38.45,1327.0,2811.5,4342.0,5858.0,8232.0,4466.33
phi4,original,psg,60.0,13.72,16.28,58.08,75.38,91.5,51.54,2233.0,2360.5,8429.5,11277.75,14073.0,7961.0
phi4,original,tpusg,100.0,16.08,19.74,21.87,42.15,97.05,32.17,2525.0,2735.0,2834.5,5793.5,12308.0,4298.13
qwen32,abla-1p,psg,40.0,21.58,37.8,43.05,43.26,65.09,41.44,1025.0,1803.75,2061.5,2063.0,3098.0,1975.08
qwen32,abla-1p,sg,0.0,,,,,,,,,,,,
qwen32,abla-1p,tpusg,0.0,,,,,,,,,,,,
qwen32,abla-2p,psg,100.0,43.29,43.94,44.14,44.67,60.88,44.76,2738.0,2761.5,2765.0,2789.75,2823.0,2772.13
qwen32,abla-2p,sg,0.0,,,,,,,,,,,,
qwen32,abla-2p,tpusg,100.0,69.71,70.19,71.4,71.66,73.41,71.23,4353.0,4371.75,4413.5,4423.75,4487.0,4406.53
qwen32,abla-l1,psg,80.0,27.99,30.37,71.38,92.4,143.89,69.17,865.0,905.75,1863.0,2850.75,4434.0,2064.96
qwen32,abla-l1,sg,0.0,,,,,,,,,,,,
qwen32,abla-l1,tpusg,80.0,22.89,55.12,78.63,115.1,174.68,82.91,797.0,1774.0,2554.5,3599.5,4737.0,2611.46
qwen32,abla-l2,psg,83.33,21.44,43.22,46.5,51.09,126.39,51.14,1243.0,2746.0,2875.0,3039.0,5923.0,3091.4
qwen32,abla-l2,sg,0.0,,,,,,,,,,,,
qwen32,abla-l2,tpusg,60.0,25.65,48.41,71.58,75.01,123.82,67.02,1446.0,2915.5,4378.0,4564.0,7966.0,4039.39
qwen32,original,psg,60.0,18.41,19.7,22.53,84.19,125.23,53.17,2243.0,2290.5,2392.5,8640.25,14106.0,5836.22
qwen32,original,tpusg,100.0,23.42,23.9,25.5,56.48,142.17,45.91,2618.0,2636.5,2693.0,5808.5,14870.0,4823.9
